time [dec. year], range [m], range-rate [m/s]
2024.1420760916, 180424.700047, 0.215355
2024.1420761233, 180424.915720, 0.215991
2024.1420761549, 180425.132029, 0.216627
2024.1420761865, 180425.348973, 0.217262
2024.1420762181, 180425.566552, 0.217895
2024.1420762497, 180425.784763, 0.218528
2024.1420762814, 180426.003607, 0.219159
2024.1420763130, 180426.223081, 0.219789
2024.1420763446, 180426.443185, 0.220419
2024.1420763762, 180426.663918, 0.221047
2024.1420764079, 180426.885278, 0.221674
2024.1420764395, 180427.107265, 0.222300
2024.1420764711, 180427.329877, 0.222925
2024.1420765027, 180427.553114, 0.223548
2024.1420765344, 180427.776973, 0.224171
2024.1420765660, 180428.001455, 0.224792
2024.1420765976, 180428.226558, 0.225413
2024.1420766292, 180428.452280, 0.226032
2024.1420766608, 180428.678621, 0.226650
2024.1420766925, 180428.905580, 0.227267
2024.1420767241, 180429.133155, 0.227883
2024.1420767557, 180429.361346, 0.228498
2024.1420767873, 180429.590151, 0.229112
2024.1420768190, 180429.819569, 0.229724
2024.1420768506, 180430.049598, 0.230335
2024.1420768822, 180430.280239, 0.230946
2024.1420769138, 180430.511489, 0.231555
2024.1420769455, 180430.743348, 0.232163
2024.1420769771, 180430.975815, 0.232770
2024.1420770087, 180431.208887, 0.233375
2024.1420770403, 180431.442565, 0.233980
2024.1420770719, 180431.676847, 0.234583
2024.1420771036, 180431.911732, 0.235186
2024.1420771352, 180432.147218, 0.235787
2024.1420771668, 180432.383306, 0.236387
2024.1420771984, 180432.619992, 0.236986
2024.1420772301, 180432.857277, 0.237584
2024.1420772617, 180433.095160, 0.238181
2024.1420772933, 180433.333638, 0.238776
2024.1420773249, 180433.572712, 0.239371
2024.1420773566, 180433.812379, 0.239964
2024.1420773882, 180434.052639, 0.240556
2024.1420774198, 180434.293491, 0.241147
2024.1420774514, 180434.534934, 0.241737
2024.1420774830, 180434.776966, 0.242326
2024.1420775147, 180435.019586, 0.242914
2024.1420775463, 180435.262793, 0.243501
2024.1420775779, 180435.506586, 0.244086
2024.1420776095, 180435.750965, 0.244670
2024.1420776412, 180435.995927, 0.245254
2024.1420776728, 180436.241472, 0.245836
2024.1420777044, 180436.487599, 0.246417
2024.1420777360, 180436.734306, 0.246997
